$ rom-hub plugin list
aminet               0.1.0      enabled   [importer,search]
archive-org          0.2.0      enabled   [importer,metadata,search,stream]
demozoo              0.1.0      enabled   [importer,search]
emulators            0.1.0      enabled   [cores]
hasheous             0.1.0      enabled   [metadata]
homebrew             0.2.0      enabled   [importer,metadata,search]
if-archive           0.1.0      enabled   [importer,search]
itch-io              0.3.0      enabled   [importer,metadata,search]
libretro-cheats      0.1.0      enabled   [assets]
libretro-content     0.1.0      enabled   [importer,search]
libretro-cores       0.1.0      enabled   [cores]
libretro-database    0.1.0      enabled   [metadata]
libretro-overlays    0.1.0      enabled   [assets]
libretro-thumbnails  0.1.0      enabled   [metadata]
ludusavi             0.1.0      enabled   [metadata]
nointro-archive      0.2.1      enabled   [importer,search]
open-bios            0.1.0      enabled   [firmware]
openvgdb             0.2.0      enabled   [metadata]
retroachievements    0.1.0      enabled   [metadata]
retroarch-autoconfig 0.1.0      enabled   [assets]
scummvm-freeware     0.1.0      enabled   [importer,search]
universal-db         0.1.0      enabled   [importer,search]
